name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price,roommate_preferences
Rodney Johnson,M,157786144,2001-07-09,Freshman,School of Social Work,0,0,['NCA' 'BS' 'MZH'],Apartment,1,1,1,4000-6000,6000,[894137910]
Joseph Bryant,M,241492001,2003-03-24,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['AH' 'TS' 'BS'],Suite,1,1,1,8000-11000,11000,"[203803868, 238068904]"
Michael Taylor,M,651329570,2001-10-17,Freshman,School of Communication and Information,0,0,['SA' 'TS' 'MH'],Traditional Residence Hall,1,1,1,6000-8000,8000,[987988946]
Nicholas Johnson,M,877666339,2006-06-13,Freshman,School of Engineering,0,0,['BS' 'SA' 'CS'],Apartment,1,1,1,6000-8000,8000,"[717255671, 504206746]"
Mandy Rocha,F,343883814,2004-04-28,Sophomore,School of Management and Labor Relations,0,0,['SA' 'BS' 'CS'],Suite,1,1,1,4000-6000,6000,"[730988561, 340853830]"
Timothy Blair,M,741425199,2005-03-03,Freshman,School of Arts and Sciences,0,1,['RA' 'MZH' 'BH'],Suite,1,1,1,4000-6000,5000,"[760169926, 557223961]"
Amy Garner,F,469655600,2002-11-02,Sophomore,School of Arts and Sciences,0,0,['SA' 'MH' 'JS'],Suite,1,1,1,8000-11000,11000,[739455600]
Pamela Nelson,F,283246642,2003-02-26,Sophomore,School of Engineering,0,1,['CS' 'AH' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[366261623, 287109376]"
Jennifer Wiley,F,714653747,2006-09-21,Freshman,School of Environmental and Biological Sciences,0,1,['SA' 'RA' 'AH'],Suite,1,1,1,6000-8000,7000,[326166223]
Elizabeth Ward,F,572932147,2002-08-23,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'MZH' 'CS'],Suite,1,1,1,4000-6000,6000,"[977613448, 705736241]"
Anthony Medina,M,828719157,2000-10-27,Sophomore,School of Social Work,0,0,['MRS' 'TS' 'JS'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[515044823, 915306243]"
Grant Garcia,M,891371574,2000-11-29,Junior,School of Social Work,0,0,['NCA' 'SA' 'BH'],Apartment,1,1,1,4000-6000,6000,[284767287]
Joshua Stewart,M,647381046,2005-03-29,Freshman,School of Arts and Sciences,0,0,['BS' 'BH' 'AH'],Apartment,1,1,1,6000-8000,8000,[632561822]
Maria Martinez,F,935518265,2001-06-19,Sophomore,School of Arts and Sciences,0,0,['MRS' 'NCA' 'SA'],Suite,1,1,1,6000-8000,8000,"[845795411, 569076754]"
Danielle Daniels,F,153018428,2001-07-06,Sophomore,School of Communication and Information,0,0,['SA' 'BS' 'WS'],Suite,1,1,1,6000-8000,8000,"[767247475, 366036393]"
Alexander Butler,M,968810557,2003-02-19,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,1,['JS' 'WS' 'MZH'],Traditional Residence Hall,1,1,0,6000-8000,7000,[710681775]
Raymond Miller,M,900023404,2001-02-04,Junior,School of Arts and Sciences,0,0,['BS' 'JS' 'AH'],Suite,1,1,1,8000-11000,11000,"[495921836, 772436585]"
Brianna Parsons,F,779264065,2005-07-25,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'RA' 'TS'],Traditional Residence Hall,1,1,0,8000-11000,11000,"[147879114, 388009361]"
Jonathan Kelley,M,614113347,2004-08-16,Freshman,School of Arts and Sciences,0,1,['TS' 'MS' 'CS'],Apartment,1,1,1,4000-6000,5000,[321975045]
Rebecca Luna,F,720355395,2004-05-23,Junior,School of Arts and Sciences,0,0,['SA' 'RA' 'MRS'],Suite,1,1,1,6000-8000,8000,[250096334]
Adrian Casey,M,488865868,2006-01-01,Sophomore,School of Engineering,0,0,['BH' 'AH' 'TS'],Suite,1,1,0,8000-11000,11000,"[578316161, 887819089]"
Michael Taylor,M,173727821,2004-10-23,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['CS' 'NCA' 'BH'],Apartment,1,1,1,6000-8000,8000,"[118133427, 744339201]"
Jonathon Martin,M,523280462,2004-09-19,Senior,School of Arts and Sciences,0,1,['RA' 'JS' 'MS'],Apartment,1,0,1,8000-11000,10000,[101278260]
Pamela Lewis,F,673857613,2001-09-09,Freshman,Mason Gross School of the Arts,0,0,['TS' 'SA' 'WS'],Traditional Residence Hall,1,1,1,4000-6000,6000,[346669404]
Antonio Acevedo,M,611729488,2006-09-14,Sophomore,Mason Gross School of the Arts,0,0,['SA' 'TS' 'AH'],Apartment,1,1,1,8000-11000,11000,[887166908]
Daniel Gibson,M,581312592,2004-11-23,Junior,School of Arts and Sciences,0,0,['CS' 'SA' 'BH'],Apartment,1,1,1,4000-6000,6000,[758277616]
Kristopher Clark,M,596353107,2002-12-11,Sophomore,School of Communication and Information,0,1,['MZH' 'JS' 'BS'],Suite,1,1,1,4000-6000,5000,[583889674]
Keith Thomas,M,875298900,2003-12-22,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['BS' 'MRS' 'AH'],Suite,1,1,1,4000-6000,5000,"[654894285, 917458133]"
Jonathon Estes,M,257949781,2005-06-21,Freshman,School of Arts and Sciences,0,0,['NCA' 'MH' 'MRS'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[705320693, 568240904]"
Dennis Duffy,M,563880021,2006-08-19,Freshman,School of Engineering,0,0,['BH' 'WS' 'AH'],Apartment,1,1,1,4000-6000,6000,"[842673760, 634883774]"
Elizabeth Johnson,F,521101398,2005-07-08,Freshman,School of Communication and Information,0,1,['MH' 'BS' 'RA'],Suite,1,1,1,4000-6000,5000,[681120222]
Eric Phelps,M,377778829,2006-07-21,Freshman,School of Arts and Sciences,0,1,['JS' 'CS' 'SA'],Apartment,1,1,1,8000-11000,10000,"[250096334, 720355395]"
Breanna Russo,F,280109145,2005-04-05,Senior,School of Arts and Sciences,0,0,['WS' 'CS' 'NCA'],Suite,1,1,1,6000-8000,8000,"[687211739, 306427008]"
Shelly Santiago,F,451182682,2005-05-13,Freshman,School of Engineering,1,1,['MH' 'AH' 'RA'],Apartment,1,1,1,4000-6000,5000,[936732421]
William Norman,M,474873948,2001-05-06,Freshman,School of Arts and Sciences,0,0,['AH' 'MS' 'SA'],Suite,1,0,1,8000-11000,11000,"[758419272, 852645367]"
Dustin Lambert,M,256229468,2002-07-27,Freshman,School of Communication and Information,0,0,['CS' 'NCA' 'JS'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[144332128, 226648297]"
Kayla Schmidt,F,774914143,2000-10-16,Freshman,School of Communication and Information,0,0,['JS' 'MS' 'NCA'],Traditional Residence Hall,1,1,1,6000-8000,8000,"[983493868, 188434982]"
Patrick Weber,M,672637025,2001-08-23,Freshman,School of Arts and Sciences,0,1,['NCA' 'MZH' 'JS'],Suite,1,1,1,4000-6000,5000,[665785561]
Brandon Morrison,M,983900258,2006-05-01,Junior,School of Environmental and Biological Sciences,0,0,['MH' 'TS' 'BS'],Suite,1,1,1,8000-11000,11000,"[443746084, 487442853]"
Joshua Edwards,M,996843620,2003-05-23,Sophomore,School of Arts and Sciences,0,0,['MZH' 'JS' 'RA'],Apartment,1,1,1,6000-8000,8000,"[308152020, 222587628]"
Thomas Obrien,M,888217702,2001-09-23,Senior,School of Engineering,1,0,['MRS' 'TS' 'CS'],Suite,1,1,1,6000-8000,8000,"[876465510, 752955893]"
Heather Hutchinson,F,966107239,2003-07-12,Freshman,School of Arts and Sciences,0,0,['NCA' 'CS' 'TS'],Apartment,1,1,1,4000-6000,6000,"[361280025, 791342824]"
Nicholas Duffy,M,606167144,2006-03-31,Sophomore,School of Arts and Sciences,0,1,['JS' 'MRS' 'RA'],Apartment,1,1,1,8000-11000,10000,"[205924086, 678109942]"
Lisa Cox,F,697368683,2003-10-29,Senior,School of Arts and Sciences,0,1,['BS' 'SA' 'TS'],Traditional Residence Hall,1,1,1,6000-8000,7000,[784280023]
Olivia Fox,F,130695276,2005-03-31,Senior,School of Communication and Information,0,0,['NCA' 'RA' 'WS'],Suite,1,1,1,8000-11000,11000,"[132928246, 667279662]"
Mitchell Chapman,M,107675758,2000-12-30,Junior,School of Arts and Sciences,0,0,['CS' 'JS' 'MZH'],Apartment,1,1,1,6000-8000,8000,"[314895284, 997810462]"
Terry White,M,209985647,2001-07-15,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['MZH' 'JS' 'TS'],Apartment,1,1,1,4000-6000,6000,[571486102]
Sean Giles,M,543531121,2005-05-05,Sophomore,School of Environmental and Biological Sciences,0,0,['JS' 'AH' 'TS'],Traditional Residence Hall,1,0,1,4000-6000,6000,[470123816]
Cassandra Miller,F,619176053,2006-02-25,Junior,Rutgers Business School–Newark and New Brunswick,1,0,['WS' 'RA' 'TS'],Suite,1,1,1,8000-11000,11000,"[421006183, 909734896]"
Stacy Taylor,F,956588151,2003-03-07,Sophomore,School of Arts and Sciences,0,1,['MZH' 'MH' 'NCA'],Suite,1,0,1,8000-11000,10000,[183927195]
Tammy Smith,F,749363319,2004-06-14,Freshman,School of Arts and Sciences,0,1,['MZH' 'AH' 'WS'],Suite,1,1,1,4000-6000,5000,[442578548]
Kelly Roberts,M,410615929,2002-05-07,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['SA' 'RA' 'NCA'],Apartment,1,1,1,6000-8000,8000,"[755854522, 609452932]"
Benjamin Mcdonald,M,458776695,2001-10-08,Freshman,School of Social Work,0,0,['SA' 'NCA' 'BS'],Apartment,1,1,1,4000-6000,6000,"[263803868, 674297117]"
Joseph Torres,M,133677179,2005-01-08,Freshman,School of Arts and Sciences,0,1,['RA' 'TS' 'BS'],Suite,1,0,1,4000-6000,5000,"[991978497, 445026738]"
Tiffany Hammond,F,626778236,2002-09-17,Freshman,School of Environmental and Biological Sciences,0,0,['AH' 'MZH' 'WS'],Apartment,1,1,1,8000-11000,11000,"[438895512, 718959187]"
Marcus Hall,M,583114877,2002-06-11,Junior,School of Arts and Sciences,0,0,['WS' 'SA' 'BS'],Traditional Residence Hall,1,1,1,6000-8000,8000,[731440493]
Melissa Mccormick,F,564576384,2001-02-06,Senior,School of Management and Labor Relations,0,1,['MH' 'RA' 'MRS'],Suite,1,0,1,8000-11000,10000,[517531682]
Carlos Martin,M,630644865,2006-03-28,Sophomore,School of Environmental and Biological Sciences,0,1,['NCA' 'RA' 'BS'],Apartment,1,1,1,4000-6000,5000,"[580149532, 165991693]"
Heather Schroeder,F,555171970,2002-05-02,Sophomore,School of Communication and Information,0,1,['BS' 'MS' 'BH'],Suite,1,1,1,4000-6000,5000,"[273781552, 680805759]"
Stephanie Elliott,F,476094596,2001-06-16,Sophomore,School of Management and Labor Relations,0,1,['RA' 'SA' 'MRS'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[401004028, 890062918]"
Stephen Peters,M,504242313,2001-03-02,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['TS' 'SA' 'AH'],Apartment,1,1,1,6000-8000,8000,[315963094]
Jenny Choi,F,180224138,2003-11-17,Senior,School of Arts and Sciences,0,0,['MH' 'JS' 'MRS'],Apartment,1,1,1,4000-6000,6000,"[910861333, 381992982]"
Daniel Rowe,M,326000780,2005-02-12,Junior,School of Management and Labor Relations,0,0,['CS' 'AH' 'WS'],Apartment,1,1,1,4000-6000,6000,[431663811]
Nancy Dickson,F,340009102,2006-08-03,Freshman,Mason Gross School of the Arts,0,0,['WS' 'MRS' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[159756009, 229147275]"
Danielle Allen,F,968253583,2003-10-16,Sophomore,School of Arts and Sciences,0,0,['SA' 'MH' 'AH'],Suite,1,1,1,4000-6000,6000,"[747484597, 285983803]"
Matthew Norris,M,263291025,2003-09-20,Junior,School of Arts and Sciences,0,0,['SA' 'MH' 'BS'],Suite,1,1,1,6000-8000,8000,"[177169088, 501591310]"
Gregory Mckinney,M,995696786,2002-10-01,Junior,Mason Gross School of the Arts,0,0,['RA' 'NCA' 'MH'],Suite,1,1,1,6000-8000,8000,"[158610189, 673871541]"
Megan Burke,F,296616084,2002-10-21,Freshman,Mason Gross School of the Arts,0,1,['AH' 'BH' 'MH'],Apartment,1,1,1,6000-8000,7000,[134354858]
Madison Davidson,F,583966869,2002-11-10,Sophomore,School of Arts and Sciences,0,1,['CS' 'SA' 'AH'],Apartment,1,1,1,4000-6000,5000,[358298687]
Brian Jordan,M,716136597,2005-10-05,Freshman,School of Arts and Sciences,0,0,['CS' 'SA' 'BH'],Suite,1,1,1,6000-8000,8000,[819423799]
John Mcdonald PhD,M,640925847,2003-02-23,Senior,School of Arts and Sciences,0,1,['TS' 'JS' 'MZH'],Apartment,1,1,1,4000-6000,5000,"[169862535, 378375022]"
Kathy Johnson,F,316702872,2004-12-26,Freshman,School of Arts and Sciences,0,0,['BS' 'WS' 'MS'],Suite,1,1,1,8000-11000,11000,[613780950]
Andrew Thompson,M,956276889,2001-01-23,Junior,School of Engineering,0,1,['MH' 'NCA' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[351917191, 286133665]"
Billy Miller DVM,M,602153115,2001-09-10,Freshman,School of Engineering,0,1,['MRS' 'TS' 'NCA'],Suite,1,1,1,8000-11000,10000,"[463996159, 439584062]"
Brian Brooks,M,632561822,2000-10-26,Freshman,School of Communication and Information,0,0,['SA' 'MH' 'WS'],Apartment,1,1,1,8000-11000,11000,"[937149024, 647381046]"
Craig Moody,M,920084640,2004-10-30,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['TS' 'MZH' 'JS'],Suite,1,1,1,4000-6000,6000,"[925575623, 157787911]"
Alexander White,M,859660450,2002-07-26,Freshman,Mason Gross School of the Arts,0,0,['NCA' 'WS' 'SA'],Suite,1,1,1,8000-11000,11000,[434876079]
Jordan Mendez,F,462872740,2000-12-17,Sophomore,School of Arts and Sciences,0,0,['BS' 'RA' 'WS'],Traditional Residence Hall,1,1,1,4000-6000,6000,[704884758]
Jason Marshall,M,519446698,2005-05-20,Freshman,School of Engineering,0,0,['WS' 'MS' 'BH'],Traditional Residence Hall,1,1,1,6000-8000,8000,"[426414326, 968582628]"
Madison Fitzgerald,F,442196142,2001-05-18,Sophomore,School of Management and Labor Relations,0,0,['MS' 'CS' 'BS'],Apartment,1,1,1,6000-8000,8000,[849815182]
Becky Riley,F,384041138,2004-03-11,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['MS' 'MH' 'MRS'],Suite,1,1,1,6000-8000,8000,"[903917938, 214713142]"
Elizabeth Smith,F,597942452,2003-12-12,Freshman,School of Communication and Information,0,1,['RA' 'MH' 'BS'],Suite,1,1,1,4000-6000,5000,[767716209]
John Nichols,M,348184757,2004-08-13,Freshman,School of Engineering,0,0,['AH' 'JS' 'WS'],Suite,1,1,1,4000-6000,6000,[577046811]
Linda Martinez,F,817029306,2005-02-21,Freshman,School of Arts and Sciences,0,0,['BS' 'MH' 'SA'],Apartment,1,1,1,8000-11000,11000,"[945713710, 871746677]"
Denise Moss,F,576839866,2001-05-21,Freshman,School of Engineering,0,0,['RA' 'MS' 'BS'],Suite,1,1,1,4000-6000,6000,"[609817609, 737707510]"
James Walsh,M,801276099,2001-07-15,Junior,School of Engineering,0,1,['MS' 'RA' 'AH'],Apartment,1,1,1,4000-6000,5000,[157224025]
Brian Mcgee,M,502071493,2000-11-02,Sophomore,School of Arts and Sciences,0,0,['JS' 'NCA' 'MH'],Suite,1,1,1,8000-11000,11000,[979683646]
Maxwell Frost,M,306823367,2004-11-18,Junior,School of Arts and Sciences,0,0,['SA' 'MH' 'WS'],Traditional Residence Hall,1,0,1,8000-11000,11000,"[974222416, 980478632]"
Morgan Foster,F,750706887,2005-06-01,Freshman,School of Arts and Sciences,0,0,['BH' 'MH' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,6000,[381477674]
Kimberly Wheeler,F,736895177,2001-11-28,Freshman,School of Communication and Information,0,0,['BS' 'WS' 'RA'],Apartment,1,1,1,4000-6000,6000,"[568412666, 305804042]"
Laura Gutierrez,F,929898701,2004-12-04,Freshman,School of Engineering,0,0,['WS' 'BS' 'CS'],Suite,1,1,1,4000-6000,6000,"[150515854, 839258248]"
Nichole Vasquez,F,419233998,2000-11-26,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'RA' 'MZH'],Traditional Residence Hall,1,1,1,6000-8000,8000,[438127213]
Jeremy Walters,M,516882639,2006-04-24,Freshman,School of Engineering,0,0,['SA' 'MZH' 'WS'],Apartment,1,1,1,6000-8000,8000,[293357460]
Nicholas Vega,M,434069711,2003-09-19,Sophomore,School of Social Work,0,0,['BH' 'RA' 'JS'],Apartment,1,1,1,6000-8000,8000,[430615827]
Pamela Petersen,F,935477457,2006-09-23,Junior,Mason Gross School of the Arts,0,0,['AH' 'SA' 'TS'],Suite,1,1,1,8000-11000,11000,"[330837940, 958352441]"
Patricia Carlson,F,695492818,2006-06-06,Sophomore,School of Communication and Information,0,0,['NCA' 'CS' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[593185437, 778978702]"
Michael Davis,M,341844177,2005-05-20,Junior,School of Arts and Sciences,0,0,['NCA' 'MRS' 'MS'],Suite,1,1,1,8000-11000,11000,[721061822]
Christina Wheeler,F,794296533,2004-08-23,Sophomore,School of Environmental and Biological Sciences,1,0,['AH' 'SA' 'MS'],Suite,1,1,1,6000-8000,8000,"[771747781, 992362853]"
Christopher Bradley,M,939499737,2002-05-05,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['WS' 'BS' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[628223799, 899452736]"
Shaun Burton,M,742875356,2004-07-23,Junior,School of Arts and Sciences,0,0,['JS' 'TS' 'MH'],Apartment,1,1,1,8000-11000,11000,"[380898263, 959360847]"
Christopher Farrell,M,463962335,2004-05-31,Freshman,School of Communication and Information,0,0,['TS' 'MS' 'BH'],Suite,1,1,1,4000-6000,6000,[217920544]
Stephanie Davis,F,768295136,2003-05-12,Junior,Edward J. Bloustein School of Planning and Public Policy,0,1,['RA' 'AH' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,10000,"[865916146, 226871722]"
Logan Bennett,M,494747875,2001-06-27,Senior,School of Communication and Information,0,0,['RA' 'MH' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,6000,[129147115]
Mackenzie Davis,F,738877669,2006-09-14,Junior,School of Management and Labor Relations,0,0,['CS' 'WS' 'MRS'],Apartment,1,1,1,8000-11000,11000,[164700802]
Kathy Glass,F,938729701,2000-10-28,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['MRS' 'NCA' 'BS'],Apartment,1,1,1,8000-11000,11000,[146435075]
Tammy Brennan,F,226648297,2005-07-18,Freshman,School of Arts and Sciences,0,0,['TS' 'RA' 'SA'],Apartment,1,1,1,4000-6000,6000,[256229468]
Zachary Thompson,M,129147115,2004-08-20,Freshman,School of Social Work,0,1,['CS' 'SA' 'BS'],Apartment,1,1,1,6000-8000,7000,"[697313671, 494747875]"
Luke Gonzalez II,M,426082539,2003-05-12,Senior,School of Arts and Sciences,0,1,['AH' 'SA' 'JS'],Apartment,1,1,1,4000-6000,5000,[482730667]
Jessica Becker,F,376013037,2004-11-17,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'NCA' 'WS'],Suite,1,1,1,4000-6000,6000,"[203088390, 645449161]"
Michael Smith,M,993411310,2002-08-24,Sophomore,School of Communication and Information,0,0,['JS' 'BS' 'TS'],Apartment,1,1,1,6000-8000,8000,"[962983369, 942146039]"
Michael Johnson,M,486383855,2001-12-10,Sophomore,School of Engineering,0,0,['RA' 'WS' 'JS'],Suite,1,0,1,4000-6000,6000,[359018954]
Melissa Willis,F,221888748,2005-10-30,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['CS' 'WS' 'TS'],Suite,1,1,1,4000-6000,6000,[138843240]
Brianna Barry,F,187867377,2004-08-22,Sophomore,Mason Gross School of the Arts,1,0,['MH' 'MS' 'SA'],Apartment,1,1,1,4000-6000,6000,[544310141]
Karla Sanders,F,471490802,2002-01-09,Freshman,School of Arts and Sciences,0,0,['RA' 'NCA' 'JS'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[525527981, 722646829]"
Curtis Stein,M,430276851,2004-04-07,Freshman,Mason Gross School of the Arts,0,1,['AH' 'RA' 'BS'],Suite,1,1,1,8000-11000,10000,[701345612]
Jose Hoffman,M,888266998,2002-12-15,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1,['CS' 'RA' 'SA'],Suite,1,1,1,6000-8000,7000,"[655346828, 172111608]"
Jessica Mays,F,287424759,2004-05-18,Senior,School of Arts and Sciences,1,0,['NCA' 'MH' 'MRS'],Suite,1,1,1,6000-8000,8000,"[414083222, 425304375]"
Tiffany Jordan MD,F,283164921,2002-05-01,Sophomore,School of Social Work,0,1,['NCA' 'WS' 'BS'],Suite,1,1,1,4000-6000,5000,"[244853029, 301049137]"
Steven Smith,M,175440122,2001-05-19,Sophomore,School of Management and Labor Relations,0,1,['TS' 'AH' 'SA'],Apartment,1,1,1,4000-6000,5000,"[512516630, 328518670]"
Gabriella Guzman,F,326774757,2001-01-10,Sophomore,School of Management and Labor Relations,0,0,['BS' 'WS' 'MZH'],Apartment,1,1,1,4000-6000,6000,[888189529]
Tina Peterson,F,607846653,2005-09-06,Sophomore,School of Arts and Sciences,0,0,['RA' 'SA' 'MZH'],Suite,1,1,1,4000-6000,6000,"[549480634, 894277261]"
Danny Mills,M,764805379,2003-06-25,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['RA' 'JS' 'MRS'],Suite,1,1,1,8000-11000,11000,"[281668130, 972916954]"
James Mccarthy Jr.,M,584679687,2000-11-02,Sophomore,School of Management and Labor Relations,1,0,['RA' 'MZH' 'MS'],Suite,1,1,1,4000-6000,6000,"[937289029, 217327163]"
Karen Green,F,667328776,2003-12-27,Freshman,School of Engineering,0,0,['WS' 'JS' 'BH'],Suite,1,1,1,4000-6000,6000,"[955626321, 227442974]"
Mary White,F,832766217,2000-12-08,Senior,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'TS' 'BH'],Apartment,1,1,1,8000-11000,11000,"[337367969, 389227653]"
George Chavez,M,748904713,2002-04-15,Sophomore,School of Communication and Information,0,0,['NCA' 'MH' 'WS'],Apartment,1,1,1,4000-6000,6000,"[109695872, 743714036]"
Stephen Roberts,M,180404490,2006-01-13,Sophomore,School of Engineering,0,0,['MS' 'WS' 'BS'],Apartment,1,1,0,8000-11000,11000,[235449026]
Rebecca Mccall,F,964280585,2006-06-24,Senior,School of Arts and Sciences,1,0,['MRS' 'JS' 'AH'],Suite,1,1,1,8000-11000,11000,[937419839]
Heidi Kane,F,178151694,2004-08-31,Sophomore,School of Engineering,0,0,['MZH' 'NCA' 'JS'],Suite,1,1,1,6000-8000,8000,"[895152768, 559051807]"
Robert Koch MD,M,212295953,2003-12-13,Sophomore,School of Arts and Sciences,0,0,['BH' 'BS' 'RA'],Suite,1,1,1,8000-11000,11000,[299181634]
John Jones,M,197714194,2003-12-30,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['NCA' 'BS' 'WS'],Apartment,1,1,0,8000-11000,10000,"[614911963, 753789844]"
Vicki Williams,F,282976530,2004-04-15,Sophomore,School of Engineering,0,0,['CS' 'RA' 'NCA'],Apartment,1,1,1,4000-6000,6000,[170413214]
Veronica Adkins,F,733528342,2000-11-08,Junior,School of Management and Labor Relations,0,0,['BS' 'RA' 'NCA'],Apartment,1,1,1,4000-6000,6000,"[397784585, 481135664]"
Morgan Yu,F,601522454,2006-01-29,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['MH' 'WS' 'BS'],Traditional Residence Hall,1,0,1,8000-11000,11000,[453232336]
Danielle Mcclure,F,327319832,2002-09-13,Freshman,Mason Gross School of the Arts,0,0,['SA' 'RA' 'BS'],Apartment,1,1,1,8000-11000,11000,[568263877]
Joshua Ward,M,925458713,2005-11-01,Sophomore,School of Arts and Sciences,0,0,['JS' 'RA' 'BH'],Apartment,1,1,1,8000-11000,11000,"[136351005, 900738428]"
Heather Bowen,F,947093786,2003-12-04,Freshman,School of Engineering,0,0,['NCA' 'AH' 'MH'],Suite,1,1,1,8000-11000,11000,"[381993490, 828541433]"
Maria Barton,F,580149532,2003-03-14,Junior,School of Engineering,0,0,['MRS' 'MH' 'CS'],Apartment,1,1,1,4000-6000,6000,"[630644865, 165991693]"
Matthew Sanders,M,997810462,2005-09-25,Sophomore,School of Engineering,0,1,['MH' 'AH' 'WS'],Apartment,1,1,1,6000-8000,7000,[107675758]
